class_number,title,url,platform,notes
179,Falling.,https://youtu.be/HbpPYhDjLT4?si=Jrq6WVtgUdoQ-ChO,YouTube,
179,Bagua green dragon.,https://youtu.be/Pkm8XNJcoAw?si=ZYAV3cuEXDFL2e7s,YouTube,
179,Dragón verde.,https://youtu.be/7MJuSx142TI?si=haZdBfk5guB7-1pQ,YouTube,
179,Fearless.,https://youtu.be/VGIBv1w5qHE?si=w0G-tLnlefN6cR1k,YouTube,
178,Tai  calentamiento.,https://youtu.be/a8w_hgSKhLo?si=lQOVIEhDTInrCFqn,YouTube,
178,El inmortal saluda.,https://youtu.be/i6XGwd7OihE?si=f2WEd31gSfCA-Th5,YouTube,
178,Tai chi begining.,https://youtube.com/shorts/tWvvOAsU9Bs?si=Xod_murbq1cEh7Jv,YouTube Shorts,
178,Las 5 palmas.,https://youtu.be/NtT73vxC5fQ?si=hSFVnRtKl8zUPSRh,YouTube,
178,Baiji. Xiao jia.,https://youtu.be/ZJKmvJAl3n0?si=yJO4dcNG1AB4N3Mv,YouTube,
178,Baiji daily.,https://youtube.com/shorts/yJdKeABThI8?si=pQbcSugyb7UoqZUA,YouTube Shorts,
177,Posiciones de Baiji.,https://youtu.be/H9cNNMZl7ho?si=dEimAiJ78UPJr9Sv,YouTube,
177,Posiciones de mabugongchui.,https://youtu.be/o2UkmdDSuTA?si=PLVoypLn8mzPT2Br,YouTube,
177,Aplicaciones baiji.,https://www.facebook.com/reel/2157669211333441/?mibextid=rS40aB7S9Ucbxw6v,Facebook,
177,Tai chi.,https://youtu.be/z0sG3C39s5U?si=VG7nYQ6oZVR1wCy_,YouTube,
177,Dragón errante.,https://youtu.be/-8TkpayS7ZM?si=t7Mso83A9j1d5Mr5,YouTube,
177,La práctica del tai chi me conecta con el tao.,https://youtu.be/ukIROjrwWas?si=1bwKmgszs-3UC_1G,YouTube,
177,Tao never dies.,https://youtube.com/shorts/xTUtJfvqSQY?si=CO7bMuPRAAePcCOW,YouTube Shorts,
177,Ying styile bagua zang,https://youtu.be/Hk3WipJCwHQ?si=y4EGbAgDKVNMAyy1,YouTube,
177,Deer horn.,https://youtu.be/dVqRiTNyW0w?si=mkI3vmWGZyGZZwZi,YouTube,
176,Esencia del bagua.,https://youtube.com/shorts/9tsgMhSsN8g?si=6bJMAUm3BND015A,YouTube Shorts,
176,Basic skills. 1,https://youtu.be/ubODjgurvHM?si=i18rJ3A0ZK12OWoK,YouTube,
176,Basic skill 2.,https://youtu.be/L-Z_TB151Rw?si=IhhgFEKIx2d9iPBZ,YouTube,
176,Pilar skill.,https://youtube.com/shorts/SGwaj7p-gwo?si=gO0miQUhRecyEf74,YouTube Shorts,
176,Dragon.,https://youtu.be/GsvCy-RwZDg,YouTube,
176,Hawk.,https://youtu.be/YsBuSr5YIqk,YouTube,
176,6 primeras líneas.,https://youtu.be/KSQw8URUsGk?si=GjfWkRX1o4cXi-vI,YouTube,
175,Shaolin.,https://www.facebook.com/reel/1321528309004164?mibextid=rS40aB7S9Ucbxw6v,Facebook,
175,Baiji.,https://youtu.be/HbpPYhDjLT4?si=EZl0PPUmWt_8VJRT,YouTube,
175,Iron protector.,https://youtu.be/lKSAx7g6sbs?si=UiMAmaYUlvv_tful,YouTube,
175,Animal movement.,https://youtube.com/shorts/DFQMxt2fp2c?si=9FHLp72yDwwSp7oh,YouTube Shorts,
175,Baiji vs may tay.,https://youtu.be/BgmUQbOx_bo?si=iC5oP-aK1uHqXNHr,YouTube,
173,2. Full tutorial.,https://youtu.be/GW39gA-Veck,YouTube,
172,Tao Luo.,https://youtu.be/69ubqovc8L0?si=wEvb5nWA6srkFKl9,YouTube,
172,Power of baiji,https://youtu.be/6vuzpC-Z-P8?si=ghos19cPH7RMZpTi,YouTube,
172,Power of baiji.,https://youtu.be/HbpPYhDjLT4?si=C18wp4GOeyv_XEY4,YouTube,
172,Iron protector.,https://youtu.be/lKSAx7g6sbs,YouTube,
172,Gao ging.,https://www.facebook.com/share/v/15zj4VZz5z/,Facebook,
172,Argollas.,https://www.facebook.com/share/r/1Y651pRKcA/,Facebook,
172,Baiji.,https://www.facebook.com/share/r/14pYy6zFu5/,Facebook,
172,Spear.,https://www.facebook.com/share/r/19W4iT58zZ/,Facebook,
172,Baiji.,https://www.facebook.com/share/v/1Ey1YHhNvy/,Facebook,
171,Tao martial.,https://youtu.be/uXCTuzDI000?si=nki9vhfnwgZyB3ht,YouTube,
171,Kata Shaolin.,https://www.facebook.com/share/p/1EMDDvMHy4/,Facebook,
171,Plancha de 10 minutos.,https://www.facebook.com/share/r/1FFgXhJeQe/,Facebook,
171,Movimiento de serpiente.,https://www.facebook.com/share/v/1C3aD7zk8v/,Facebook,
171,Derribo.,https://www.facebook.com/share/p/15ysTdPt53/,Facebook,
171,Powerfull chain punches.,https://youtu.be/qOlz9PixSlk?si=MFcqZPl2GW4M8ZYX,YouTube,
171,Combo shaolin.,https://youtube.com/shorts/314vdNwhe3o?si=3tqF4a3No1ryz-51,YouTube Shorts,
171,Paso de Gao ging baiji.,https://www.facebook.com/share/r/18LZvFKcRw/,Facebook,
171,12 animales.,https://youtu.be/ncVheTbhdoA?si=r_PfK906Tt-zczWT,YouTube,
170,Streching.,https://www.facebook.com/share/r/1At4LQF5cX/,Facebook,
170,Workout.,https://youtube.com/shorts/Dubxxl-Bkxc?si=wEDiNUL2Xyn0bMWX,YouTube Shorts,
170,Rom baliky. Min 34,https://youtu.be/4_E2RnNcvYo,YouTube,
170,Wing chun completo de manos.,https://youtu.be/f98BbbW1mHs?si=tjhLDlQ5qIB5IoxF,YouTube,
170,Complete wooden dummy.,https://youtu.be/m8IM2loFbtw,YouTube,
170,Shaoilin jump hi.,https://youtube.com/shorts/uMD-nmx7g6k?si=0rwfBs6hoZww7rZj,YouTube Shorts,
169,Energia de los riñones.,https://youtu.be/zVKa-BnxDAs?si=YagmdoRzXCek74It,YouTube,
169,Ba dan yin.,https://youtu.be/UpN3AcXLSSk?si=30eaO_xDB99OvBwE,YouTube,
169,La práctica del tai chi me conecta con el Tao.,https://youtu.be/ukIROjrwWas?si=Vs-uBGq7gKACEQEU,YouTube,
169,Danza de Dragon.,https://www.facebook.com/share/v/1AmcRirfYr/,Facebook,
169,50 mejores ejercicios yui yutsu.,https://youtu.be/QAFD9lJe4iw,YouTube,
169,Practicando la fuerza.,https://www.facebook.com/reel/1027292412770988?mibextid=rS40aB7S9Ucbxw6v,Facebook,
169,Kali.,https://www.facebook.com/share/r/18zaY3tykC/,Facebook,
169,Challenge mabu.,https://youtu.be/OZpOodeUEfo?si=JZyyrUqAsaY7e9u9,YouTube,
168,1. Enraizamiento baiji..,https://youtu.be/ZsGskcGdoU0?si=roJsTaTvJBBnonuU,YouTube,
168,2,https://youtu.be/xFvdnVquEn0?si=_b5cFDTCZYEX7C9L,YouTube,
168,3,https://www.facebook.com/share/r/1CoGf7DcVF/,Facebook,
168,5,https://youtu.be/hdCQ6f0PEPI?si=zlcl5owcesyA1_RG,YouTube,
168,6. Demostración.,https://youtu.be/8UHU_ns8n4I?si=uk1BDMBWmcY3IpSG,YouTube,
168,8,https://youtu.be/q0bJtxjwgJY?si=m-cOrBdNdAhhuqxR,YouTube,
168,9,https://youtu.be/Ip0fRLGtKIE?si=7Z5ly2_rPJP0A5Yx,YouTube,
168,10,https://youtu.be/gU0PkIiMT0A?si=reDkrVG5e58ky9J4,YouTube,
168,11. Posturas.,https://youtu.be/H9cNNMZl7ho?si=KHx1-fAvCMi7TJC5,YouTube,
168,12,https://youtu.be/5_2Pd-CdMms?si=tUsfdsgvgCoEPi8x,YouTube,
168,13,https://youtu.be/JoObRcfFaco?si=C26J3AjMZOzJd2lU,YouTube,
168,14,https://youtu.be/uDMDZT5TlbU?si=Q_c5PuMSEBdhwjos,YouTube,
168,15,https://youtu.be/mH9pj-IVe4w?si=RQVnQreFy70-sptF,YouTube,
168,16 horse.,https://youtu.be/JnRMMbY8Vb4?si=v56M4ObfIkG5X0b9,YouTube,
168,17. 4 forms mabugongchoi.,https://youtu.be/o2UkmdDSuTA?si=RHnfgzwY1kQsMX0F,YouTube,
168,18,https://youtu.be/LJ4GSo3KYAU?si=ppq19RyOLeY6SFEj,YouTube,
168,19,https://youtu.be/LMrN_Y2W174?si=eRomcK4OgIWGFAPx,YouTube,
168,20,https://youtu.be/jrHVSgv_OSA?si=DPoCjDjHAUZ1K9-c,YouTube,
168,21 3erd dan.,https://youtu.be/1l4UTV-9-T8?si=8O-ROiYxj6L_L3Fg,YouTube,
168,22,https://youtu.be/jrHVSgv_OSA?si=8ZmWr1ZuWaYjBpwr,YouTube,
168,Triple golpe con avance.,https://youtu.be/jSuTbjPDB5U?si=RCS9jjafVUl7h2At,YouTube,
168,Knife hand.,https://youtu.be/jEhDZKWXPNA?si=7hzF0soFVlFEn21Q,YouTube,
168,Knife combo.,https://youtu.be/jpn64SOxeVM?si=-rOnxwAZIWWQt1MA,YouTube,
168,Baiji.,https://www.facebook.com/share/r/1BHEJowAyA/,Facebook,
168,Grounding positions.,https://youtu.be/r5viOcCJ3nk,YouTube,
168,Grounding figthing.,https://youtu.be/J6NMjdRuqzg,YouTube,
168,Wing chun.,https://youtu.be/ViET40oZtok?si=MfwYhJ1kGkNaVOGl,YouTube,
168,Kata niña.,https://www.facebook.com/share/p/1JyK2E6Kem/,Facebook,
168,Riñones.,https://youtu.be/RVwCPXz9GrI?si=97r9ZIp_CMGj8ikh,YouTube,
168,Codos.,https://www.facebook.com/reel/1713857346123412?mibextid=rS40aB7S9Ucbxw6v,Facebook,
168,Advance combo indian skuat.,https://youtu.be/GfwaAj3A1lc?si=KWvJ_c4jys9646Ai,YouTube,
168,Patada avanzada de Mantis.,https://youtu.be/wtKHxQws2gg?si=Gl7mBgpliZuNyoBc,YouTube,
168,Puño avanzado de mantis.,https://youtu.be/6vrPcKh5sAI?si=JXXM16EkXJjaWsvs,YouTube,
166,Baji elbow strike.,https://youtu.be/HC9wFR4cZFs?si=v9MGn3WzvpMGIUWi,YouTube,
166,Combo de kun fu.,https://youtu.be/6y1MVMeQ7Bs?si=aqqBwjl4xVWBn9ov,YouTube,
166,Baiji kaimen,https://youtu.be/q4zfk-A_1rc?si=PsfKLPgKV5RFG3aJ,YouTube,
166,3erd dan sword.,https://youtu.be/DUt-ET1NRcU?si=GegBvW7DiUu3bOB6,YouTube,
166,Workout shaolin.,https://youtu.be/xBnGziWUwNo?si=FTwXq874VOflNw3g,YouTube,
166,Combo pateo y grounding positions.,https://www.facebook.com/share/v/18F1To11zj/,Facebook,
166,Dragon perro.,https://youtu.be/-6m4DFnAZqg?si=7mBt4-N6ubn-DsRA,YouTube,
166,Gao Ying.,https://www.facebook.com/100083539955194/videos/3533196603647565/?mibextid=rS40aB7S9Ucbxw6v,Facebook,
166,Mejorar pateo.,https://www.facebook.com/karatedoscience/videos/587115477465085/?mibextid=rS40aB7S9Ucbxw6v,Facebook,
166,Entrenamiento de katare.,https://www.facebook.com/karatedoscience/videos/2887510261401724/?mibextid=rS40aB7S9Ucbxw6v,Facebook,
166,Armadura para entrenamiento.,https://www.facebook.com/karatedoscience/videos/28100576582890958/?mibextid=rS40aB7S9Ucbxw6v,Facebook,
166,Wing chun.,https://www.facebook.com/wingchunnewspage/videos/613397678053457/?mibextid=rS40aB7S9Ucbxw6v,Facebook,
166,Jump.,https://www.facebook.com/share/v/1E1UCTGrkQ/,Facebook,
166,Abdominales.,https://www.facebook.com/share/r/15tMSUBn9H/,Facebook,
166,Gimnasia.,https://www.facebook.com/share/v/1DTh93xsUq/,Facebook,
166,Gao ying.,https://www.facebook.com/share/r/15R9UxWtuW/,Facebook,
166,Gao ying.,https://www.facebook.com/share/r/15Y7z6ysUm/,Facebook,
166,Gao Ying.,https://www.facebook.com/share/r/15oiHyvc3L/,Facebook,
165,Bo.,https://www.facebook.com/share/r/18RhBA89EQ/,Facebook,
165,Strength.,https://www.facebook.com/share/r/18Pop9xJjc/,Facebook,
165,Strength.,https://www.facebook.com/share/r/18Rs3dc3Rz/,Facebook,
165,Agmat.,https://www.facebook.com/share/r/qvD5XNe9MhqPAYc1/,Facebook,
165,Indian skuat.,https://youtu.be/j6ecG2GZl9Y?si=fHjM9hkKJir9rVkD,YouTube,
165,Gimnasia.,https://www.youtube.com/playlist?list=PLUnh4E9OXHRmthhgG9XNxF8HUFA6rz8_j,YouTube Playlist,
164,Recupera tu energía Yin de los riñones..,https://youtu.be/M-V6PUP8BAg?si=1AuyYkxQNXyUrePc,YouTube,
164,El poder de los puños de kun fu.,https://youtu.be/fRGZe1_QLxo?si=pHEsfhYo5GYkwOOX,YouTube,
164,Iron rings.,https://www.facebook.com/share/v/eeRDAXDADEj7NZHD/,Facebook,
164,Gimnasia.,https://www.facebook.com/share/r/18TXMwtHp8/,Facebook,
164,Baiji.,https://www.facebook.com/reel/555601933718510?mibextid=rS40aB7S9Ucbxw6v,Facebook,
164,Abirse de piernas.,https://www.facebook.com/share/r/1Bawif6MKC/,Facebook,
163,,https://youtu.be/qWA8OsLHAhU,YouTube,
163,Beganers.,https://youtu.be/xlHGjYHyjmM,YouTube,
163,2,https://youtu.be/SIZf-OnHfdo?si=Nb0YwsU40YdQT_aj,YouTube,
163,2,https://youtu.be/cNWEVeHc54g,YouTube,
163,3,https://youtu.be/n6VXcL1rZKw,YouTube,
163,4,https://youtu.be/CfiUCbOl3tA,YouTube,
163,5,https://youtu.be/_cpxtHGlK5U,YouTube,
163,6,https://youtu.be/alRdNd2D15I,YouTube,
163,7,https://youtu.be/WlDYrq8K6nk?si=CidRW2iYTZkIvahN,YouTube,
163,8,https://youtu.be/AVhFZZ5Zjco?si=oLnPxxRRiGn3o7D0,YouTube,
163,El yang tai chi chuan mas antiguo. Carlos garcia.,https://youtu.be/vkTMLzcKUEU?si=D57tjHMfGpeYYuzP,YouTube,
163,Tai chi arzak.,https://youtu.be/a8w_hgSKhLo?si=Dwk2-IE_Pido6xeY,YouTube,
163,Posicion para mejorar baiji.,https://youtube.com/shorts/xQhl4K-JTTM?si=c3Oy310FWoxRTiaJ,YouTube Shorts,
163,Playlist.,https://youtu.be/BXqsK2qNkv8?si=TBL80TFH9W9OlKNJ,YouTube,
163,Tai chi basic hand.,https://youtu.be/pWsq2oXCZ8I?si=2yq3HNe4MiUfYNxJ,YouTube,
163,For lose weigth.,https://youtu.be/9dDcKG8vai4?si=RcHovkC4h3PDQBrZ,YouTube,
163,Tai chi 18 movements.,https://youtu.be/tgBRcYwDdsk?si=14pZPQBmgI4LT02C,YouTube,
163,5 stance forms.,https://youtu.be/Q8oMWwuiWSw?si=R8nzNPiigwo65l33,YouTube,
163,Te cups.,https://www.facebook.com/share/v/14feCEefDu/,Facebook,
163,Tai chi chen stile.,https://youtu.be/QupTd7Gft_Q?si=gkDZppFdFZqoXWJ8,YouTube,
163,Chen stile.,https://youtu.be/84BQZz7QHG4?si=5Iqp7JKEPgkt_gxy,YouTube,
163,Avanzado.,https://www.facebook.com/share/r/19hjBG7oej/,Facebook,
162,Shaolin strength.,https://www.facebook.com/share/r/128g6m7LS2g/,Facebook,
162,Shaolin iron rings.,https://www.facebook.com/share/r/KVxJeXHGzEfALC39/,Facebook,
162,Be water.,https://www.facebook.com/reel/1121408469369076?mibextid=rS40aB7S9Ucbxw6v,Facebook,
162,Campesino derrota samurai.,https://www.facebook.com/share/v/kqiPh4rxzx5Zs6Va/,Facebook,
162,Iron wing chun.,https://www.facebook.com/share/v/6bNzqs5kTadTkoZz/,Facebook,
162,Patada perfecta.,https://www.facebook.com/share/r/BxdJ2dT8FEFVHNE5/,Facebook,
162,Shaolin.,https://www.facebook.com/share/v/wopgDAHHjZMBqz8H/,Facebook,
162,Fanzy Quan.,https://youtu.be/fIAFgzgsR2k?si=Y6how2RMl4kI4EEZ,YouTube,
162,Diferent stiles.,https://www.facebook.com/share/v/AcdCSxETPQTBo8Bw/,Facebook,
162,Mma training.,https://www.facebook.com/share/v/1BTaHLhsik/,Facebook,
161,Challenge.,https://youtu.be/boNITY9KxJ4?si=EqQQ4VRHQNEwtuXM,YouTube,
161,"19. Circulo de taichi se adelanta gira en otro sentido t empuja. Min 2,50.",https://youtu.be/EDGuNtekCx4?si=m-mom8d-l8fa7mGK,YouTube,
161,Falling,https://youtu.be/HbpPYhDjLT4?si=Wyk3daSIG291zaDl,YouTube,
161,Indian bodyweigth.,https://youtu.be/j6ecG2GZl9Y?si=cTm18f1yBfm9wHl6,YouTube,
161,Indian workout.,https://youtu.be/b8xM4iXvZg8,YouTube,
161,Indian workout.,https://youtu.be/UCE5qlCaKGw,YouTube,
161,Manejo de las direcciones niña Indu.,https://www.facebook.com/reel/1271012871312996/?mibextid=rS40aB7S9Ucbxw6v,Facebook,
160,Secrets of fallin..,https://youtu.be/HbpPYhDjLT4?si=k761PQTqZLVfNtQn,YouTube,
160,Patada mas poderosa.,https://www.facebook.com/share/r/z6pKVmnwpNcfMBhL/,Facebook,
160,Patada mas poderosa.,https://www.facebook.com/reel/658057403211009?mibextid=rS40aB7S9Ucbxw6v,Facebook,
160,Pateo.,https://www.facebook.com/share/r/2V2AEU9mtJ3zfMeA/,Facebook,
160,Tiger.,https://www.facebook.com/reel/1105398117854957?mibextid=rS40aB7S9Ucbxw6v,Facebook,
160,Tai chi.,https://www.facebook.com/share/r/SjRCqLo7AmVSJT54/,Facebook,
160,Tai chi.,https://www.facebook.com/share/r/t1RUe988dsj29GbE/,Facebook,
159,Versión de dragón volador..,https://www.facebook.com/100086407689490/videos/594011723516063/?mibextid=rS40aB7S9Ucbxw6v,Facebook,
159,Wing chun master,https://youtube.com/shorts/Ne6NvnltL_k?si=MepUk7Wv2-RPQ7yY,YouTube Shorts,
159,Baiji aplications.,https://youtube.com/shorts/ZUKoVJX84cY?si=m7PCiC1ZHMxwP8DR,YouTube Shorts,
158,,https://youtube.com/shorts/ZJnvJoguGUU?si=PDSPwvyhTT_jwJ7N,YouTube Shorts,
158,3. Respiración.,https://www.facebook.com/reel/1286235475711104?mibextid=rS40aB7S9Ucbxw6v,Facebook,
158,Jump and strenght.,https://www.facebook.com/share/r/CKjDMTXZNjRR7PHr/,Facebook,
157,Tai chi water.,https://www.facebook.com/100082295735887/posts/592756853477501/?mibextid=rS40aB7S9Ucbxw6v,Facebook,
157,Qi gong tai chi chuan.,https://youtu.be/zVKa-BnxDAs?si=dUH1pxZmyAZgt0UC,YouTube,
157,Maestro.,https://youtu.be/oOIXO5d4TRM?si=VyuxpozWg6UJyPCf,YouTube,
157,The tiger.,https://youtu.be/K-PIjxruvXE?si=_80gRJDip_bLFCCM,YouTube,
157,Baiji.,https://youtube.com/shorts/Vv8YliQkbdE?si=5nhSDXC9ilxKCtgg,YouTube Shorts,
157,Croosfit.,https://www.facebook.com/share/v/di5oug7Rcmc7tQnv/,Facebook,
157,2. Jump.,https://www.facebook.com/100082295735887/posts/592078860211967/?mibextid=rS40aB7S9Ucbxw6v,Facebook,
156,Be water.,https://youtu.be/6GGzjyZ7WVY?si=YsQB5K7RnvnYqXgq,YouTube,
156,Bagua imperial.,https://youtu.be/7MJuSx142TI?si=nShae0s4-i_8Yduw,YouTube,
156,8 animals palm.,https://youtu.be/PSWPMv5Aofg,YouTube,
156,La esencia del bagua.,https://youtube.com/shorts/9tsgMhSsN8g?si=ZxqkcC8JX2vEa5N-,YouTube Shorts,
156,Bagua kicks.,https://youtu.be/mZwrgTsrQqg?si=3SW7iJufgJb6N3gc,YouTube,
156,Cuerpo interno. Secreto.,https://youtu.be/N06b1FwNgZA?si=dbdp3smp4qesiF9D,YouTube,
156,Curtision.,https://www.facebook.com/share/r/pXaLFnVv2Geit4f8/,Facebook,
156,Pilar skill.,https://youtube.com/shorts/SGwaj7p-gwo?si=JxP9H3an5vwYuXzG,YouTube Shorts,
155,Fajjin.,https://youtu.be/HbpPYhDjLT4?si=iXR0EonRrzSGmdnb,YouTube,
155,Bajando de la montaña.,https://www.facebook.com/share/v/UYNGHJRUP8Ph3b6e,Facebook,
155,Short.,https://www.facebook.com/reel/3879378822315876?mibextid=rS40aB7S9Ucbxw6v,Facebook,
155,Aplicaciones de baiji.,https://youtube.com/shorts/puxvOMtgp3o?si=4ebJz9wmapolQx5Q,YouTube Shorts,
155,Baiji training.,https://youtu.be/1eDDyXoUi_s?si=juAKQLTwagcWEYa_,YouTube,
155,Fajjin.,https://youtu.be/TKZQrieRsIc?si=6VkL6IBJyTcdMupB,YouTube,
155,Joroba.,https://www.facebook.com/share/v/r8ZerVbwuXKSryG8/,Facebook,
